text,polarity,id,polarity_nb,polarity_svm
the film's intimate camera work and searing performances pull us deep into the girls' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that's opened between them .,positive,2044,positive,positive
"not only a reminder of how they used to make movies , but also how they sometimes still can be made .",positive,2049,positive,positive
"a witty , whimsical feature debut .",positive,2053,positive,positive
there's lots of cool stuff packed into espn's ultimate x .,positive,2069,positive,positive
a knowing sense of humor and a lot of warmth ignite son of the bride .,positive,2078,positive,positive
"in all fairness , i must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .",positive,2081,negative,positive
fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,positive,2107,positive,negative
"[there's] quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin .",positive,2112,negative,negative
"light-years ahead of paint-by-number american blockbusters like pearl harbor , at least artistically .",positive,2117,positive,positive
a fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the new age .,positive,2118,positive,positive
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol's most intense psychological mysteries .,positive,2119,positive,positive
"it's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .",positive,2128,positive,positive
it's an often-cute film but either needs more substance to fill the time or some judicious editing .,positive,2131,negative,negative
what makes this film special is serry's ability to take what is essentially a contained family conflict and put it into a much larger historical context .,positive,2133,negative,negative
"it's a wonderful , sobering , heart-felt drama .",positive,2140,positive,positive
"the huskies are beautiful , the border collie is funny and the overall feeling is genial and decent .",positive,2147,positive,negative
surprisingly powerful and universal .,positive,2166,positive,positive
well-done supernatural thriller with keen insights into parapsychological phenomena and the soulful nuances of the grieving process .,positive,2170,positive,positive
this film puts wang at the forefront of china's sixth generation of film makers .,positive,2173,negative,negative
"wiseman is patient and uncompromising , letting his camera observe and record the lives of women torn apart by a legacy of abuse .",positive,2175,positive,positive
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .,positive,2177,positive,positive
pray has really done his subject justice .,positive,2182,positive,positive
an unexpectedly sweet story of sisterhood .,positive,2183,positive,positive
caviezel embodies the transformation of his character completely .,positive,2190,positive,positive
"a creepy , intermittently powerful study of a self-destructive man . . . about as unsettling to watch as an exploratory medical procedure or an autopsy .",positive,2191,positive,positive
"miyazaki has created such a vibrant , colorful world , it's almost impossible not to be swept away by the sheer beauty of his images .",positive,2196,positive,positive
"�an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .",positive,2200,positive,positive
catch it . . . if you can !,positive,2203,negative,negative
the komediant is a tale worth catching .,positive,2205,positive,positive
"the results , if not memorable , are at least interesting .",positive,2214,positive,negative
you live the mood rather than savour the story .,positive,2218,positive,positive
"while there are times when the film's reach exceeds its grasp , the production works more often than it doesn't .",positive,2220,positive,positive
"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games .",positive,2226,positive,positive
"giggling at the absurdities and inconsistencies is part of the fun . but the talented cast alone will keep you watching , as will the fight scenes .",positive,2230,negative,negative
"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth .",positive,2233,positive,positive
"efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .",positive,2234,positive,positive
"one of the finest , most humane and important holocaust movies ever made .",positive,2247,positive,positive
"shattering , devastating documentary on two maladjusted teens in a downward narcotized spiral . extraordinary debut from josh koury .",positive,2251,positive,positive
"for those who are intrigued by politics of the '70s , the film is every bit as fascinating as it is flawed .",positive,2253,positive,positive
douglas mcgrath's nicholas nickleby does dickens as it should be done cinematically .,positive,2255,positive,positive
able to provide insight into a fascinating part of theater history .,positive,2261,positive,positive
"it won't hold up over the long haul , but in the moment , finch's tale provides the forgettable pleasures of a saturday matinee .",positive,2266,positive,positive
". . . hits every cliche we've come to expect , including the assumption that "" crazy "" people are innocent , childlike and inherently funny .",positive,2269,negative,positive
that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar .,positive,2274,positive,positive
"in his u . s . debut , mr . schnitzler proves himself a deft pace master and stylist .",positive,2277,positive,positive
"lohman adapts to the changes required of her , but the actress and director peter kosminsky never get the audience to break through the wall her character erects",positive,2283,positive,positive
"for a movie audience , the hours doesn't connect in a neat way , but introduces characters who illuminate mysteries of sex , duty and love .",positive,2285,positive,positive
ozpetek's effort has the scope and shape of an especially well-executed television movie .,positive,2287,positive,positive
"a delightful little film that revels in its own simplicity , mostly martha will leave you with a smile on your face and a grumble in your stomach .",positive,2290,positive,positive
"makes one thing abundantly clear . american musical comedy as we know it wouldn't exist without the precedent of yiddish theater , whose jolly , fun-for-fun's-sake communal spirit goes to the essence of broadway .",positive,2291,positive,negative
"pan nalin's exposition is beautiful and mysterious , and the interviews that follow , with the practitioners of this ancient indian practice , are as subtle and as enigmatic .",positive,2295,positive,positive
"it's crafty , energetic and smart -- the kid is sort of like a fourteen-year old ferris bueller .",positive,2297,positive,positive
it reaffirms life as it looks in the face of death .,positive,2311,positive,positive
"even bigger and more ambitious than the first installment , spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man .",positive,2331,negative,positive
"you'll laugh at either the obviousness of it all or its stupidity or maybe even its inventiveness , but the point is , you'll laugh .",positive,2339,negative,negative
definitely worth 95 minutes of your time .,positive,2340,negative,positive
"funny , sexy , devastating and incurably romantic .",positive,2345,positive,positive
very well-written and very well-acted .,positive,2347,positive,positive
"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances .",positive,2360,negative,positive
"confessions may not be a straightforward bio , nor does it offer much in the way of barris' motivations , but the film is an oddly fascinating depiction of an architect of pop culture .",positive,2364,positive,positive
"my big fat greek wedding is that rare animal known as 'a perfect family film , ' because it's about family .",positive,2380,positive,positive
"a disoriented but occasionally disarming saga packed with moments out of an alice in wonderland adventure , a stalker thriller , and a condensed season of tv's big brother .",positive,2384,negative,negative
"a photographic marvel of sorts , and it's certainly an invaluable record of that special fishy community .",positive,2390,positive,positive
"the ring is worth a look , if you don't demand much more than a few cheap thrills from your halloween entertainment .",positive,2399,negative,positive
"the movie ultimately relies a bit too heavily on grandstanding , emotional , rocky-like moments . . . but it's such a warm and charming package that you'll feel too happy to argue much .",positive,2400,positive,positive
"a bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that french realism .",positive,2409,positive,negative
better than the tepid star trek : insurrection ; falls short of first contact because the villain couldn't pick the lint off borg queen alice krige's cape ; and finishes half a parsec ( a nose ) ahead of generations .,positive,2415,negative,negative
"hard , endearing , caring , warm . bring tissues .",positive,2421,positive,positive
"a thriller with an edge -- which is to say that it doesn't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world .",positive,2422,negative,positive
"devos and cassel have tremendous chemistry -- their sexual and romantic tension , while never really vocalized , is palpable .",positive,2433,positive,positive
[fincher's] camera sense and assured pacing make it an above-average thriller .,positive,2445,positive,positive
an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .,positive,2447,positive,positive
"exploits [headbanger] stereotypes in good fun , while adding a bit of heart and unsettling subject matter .",positive,2449,negative,positive
a comedy that swings and jostles to the rhythms of life .,positive,2454,negative,negative
"as animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth .",positive,2457,positive,positive
a glib but bouncy bit of sixties-style slickness in which the hero might wind up caught but the audience gets pure escapism .,positive,2462,negative,negative
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i'm all for that .",positive,2473,positive,positive
worth a look as a curiosity .,positive,2475,negative,negative
"though intrepid in exploring an attraction that crosses sexual identity , ozpetek falls short in showing us antonia's true emotions . . . but at the very least , his secret life will leave you thinking .",positive,2486,positive,positive
"the message of such reflections--intentional or not--is that while no art grows from a vacuum , many artists exist in one .",positive,2488,negative,negative
"the otherwise good-naturedness of mr . deeds , with its embrace of sheer goofiness and cameos of less- than-likely new york celebrities . . . certainly raises the film above anything sandler's been attached to before .",positive,2490,positive,positive
it's stylishly directed with verve . . .,positive,2492,positive,negative
"lead actress ga� , she of the impossibly long limbs and sweetly conspiratorial smile , is a towering siren .",positive,2504,positive,positive
overcomes its visual hideousness with a sharp script and strong performances .,positive,2517,positive,positive
touch� !,positive,2518,positive,positive
"a fine documentary can be distinguished from a mediocre one by the better film's ability to make its subject interesting to those who aren't part of its supposed target audience . judging by those standards , 'scratch' is a pretty decent little documentary .",positive,2526,negative,negative
"'the film is stark , straightforward and deadly . . . an unnatural calm that's occasionally shaken by . . . blasts of rage , and later , violent jealousy . '",positive,2530,positive,positive
an impressive hybrid .,positive,2531,negative,negative
"the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .",positive,2539,positive,positive
worse than 'silence of the lambs' better than 'hannibal',positive,2542,negative,negative
"[the digital effects] reminded me of terry gilliam's rudimentary old monty python cartoons , in which he would cut out figures from drawings and photographs and paste them together .",positive,2544,negative,negative
canada's arctic light shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people .,positive,2546,positive,positive
"though it lacks the utter authority of a genre gem , there's a certain robustness to this engaging mix of love and bloodletting .",positive,2550,positive,positive
"one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",positive,2557,positive,positive
insanely hilarious ! i haven't laughed that hard in years !,positive,2558,positive,positive
"anyone who's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved . these people are really going to love the piano teacher .",positive,2559,positive,negative
"see scratch for the history , see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion .",positive,2565,positive,positive
an average kid-empowerment fantasy with slightly above-average brains .,positive,2574,positive,negative
"confessions isn't always coherent , but it's sharply comic and surprisingly touching , so hold the gong .",positive,2575,positive,positive
"it looks closely , insightfully at fragile , complex relationships .",positive,2582,positive,positive
"a fine effort , an interesting topic , some intriguing characters and a sad ending . certainly the big finish wasn't something galinsky and hawley could have planned for . . . but part of being a good documentarian is being there when the rope snaps .",positive,2584,negative,positive
there are moments of hilarity to be had .,positive,2586,positive,positive
"[while the last metro] was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history .",positive,2589,positive,positive
"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .",positive,2591,positive,positive
"suffice to say that after seeing this movie in imax form , you'll be more acquainted with the tiniest details of tom hanks' face than his wife is .",positive,2593,positive,positive
"a brisk , reverent , and subtly different sequel .",positive,2596,positive,negative
"fans of critics' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart .",positive,2605,positive,positive
the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,positive,2606,positive,positive
fulford-wierzbicki . . . deftly captures the wise-beyond-her-years teen .,positive,2609,positive,positive
featherweight romantic comedy has a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock .,positive,2612,positive,positive
very well written and directed with brutal honesty and respect for its audience .,positive,2625,positive,positive
wonderful fencing scenes and an exciting plot make this an eminently engrossing film .,positive,2626,positive,positive
this is a superior horror flick .,positive,2629,negative,positive
i love the opening scenes of a wintry new york city in 1899 . cinematic poetry showcases the city's old-world charm before machines change nearly everything .,positive,2634,positive,negative
directors brett morgen and nanette burstein have put together a bold biographical fantasia .,positive,2641,positive,negative
"irwin is so earnest that it's hard to resist his pleas to spare wildlife and respect their environs . there are far worse messages to teach a young audience , which will probably be perfectly happy with the sloppy slapstick comedy .",positive,2647,positive,positive
"'film aficionados cannot help but love cinema paradiso , whether the original version or new director's cut . '",positive,2650,positive,positive
a fascinating glimpse into an insular world that gives the lie to many clich�s and showcases a group of dedicated artists .,positive,2651,positive,positive
"it's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing .",positive,2658,positive,negative
"leaping from one arresting image to another , songs from the second floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .",positive,2663,positive,positive
"leave it to john sayles to take on developers , the chamber of commerce , tourism , historical pageants , and commercialism all in the same movie . . . without neglecting character development for even one minute .",positive,2674,negative,negative
see it . debate it . remember it .,positive,2679,positive,positive
"try as you might to resist , if you've got a place in your heart for smokey robinson , this movie will worm its way there .",positive,2680,positive,positive
"a riveting profile of law enforcement , and a visceral , nasty journey into an urban hades .",positive,2681,positive,positive
director douglas mcgrath takes on nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,positive,2682,negative,negative
"i am not generally a huge fan of cartoons derived from tv shows , but hey arnold ! the movie is clever , offbeat and even gritty enough to overcome my resistance .",positive,2684,negative,positive
"if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force .",positive,2688,positive,negative
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story , the more details slip out between his fingers .",positive,2698,negative,negative
"my big fat greek wedding is not only the best date movie of the year , it's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss .",positive,2699,positive,positive
"provides the kind of 'laugh therapy' i need from movie comedies -- offbeat humor , amusing characters , and a happy ending . after seeing 'analyze that , ' i feel better already .",positive,2705,negative,negative
"this isn't a retooled genre piece , the tale of a guy and his gun , but an amiably idiosyncratic work .",positive,2707,positive,positive
"overall , it's a very entertaining , thought-provoking film with a simple message : god is love .",positive,2708,positive,positive
"the film is a hoot , and is just as good , if not better than much of what's on saturday morning tv especially the pseudo-educational stuff we all can't stand .",positive,2712,negative,negative
morvern rocks .,positive,2731,positive,positive
"not the best herzog perhaps , but unmistakably herzog .",positive,2742,positive,positive
"while not quite a comedy , the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging .",positive,2749,positive,positive
"an extremely funny , ultimately heartbreaking look at life in contemporary china .",positive,2750,positive,positive
a lively and engaging examination of how similar obsessions can dominate a family .,positive,2754,positive,positive
"the movie is well crafted , and well executed . if you're paying attention , the "" big twists "" are pretty easy to guess - but that doesn't make the movie any less entertaining .",positive,2759,positive,positive
"the one-liners are snappy , the situations volatile and the comic opportunities richly rewarded .",positive,2762,positive,positive
goes a long way on hedonistic gusto .,positive,2785,positive,negative
"unexpected moments of authentically impulsive humor are the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of�emotional recovery .",positive,2789,positive,positive
"jacquot has filmed the opera exactly as the libretto directs , ideally capturing the opera's drama and lyricism .",positive,2790,positive,positive
"while dutifully pulling on heartstrings , directors dean deblois and chris sanders valiantly keep punching up the mix .",positive,2798,positive,negative
eric byler's nuanced pic avoids easy sentiments and explanations . . .,positive,2800,positive,negative
"when it's not wallowing in hormonal melodrama , "" real women have curves "" is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she'll become her mother before she gets to fulfill her dreams .",positive,2802,positive,positive
the film runs on a little longer than it needs to -- muccino either doesn't notice when his story ends or just can't tear himself away from the characters -- but it's smooth and professional .,positive,2803,negative,negative
"this cinema verite speculation on the assassination of john f . kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative .",positive,2811,negative,negative
a beautifully observed character piece .,positive,2812,positive,positive
"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two",positive,2817,negative,positive
"filled with alexandre desplat's haunting and sublime music , the movie completely transfixes the audience .",positive,2819,positive,positive
"no worse a film than breaking out , and breaking out was utterly charming .",positive,2823,negative,positive
"' . . . despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . '",positive,2825,negative,negative
"deflated ending aside , there's much to recommend the film .",positive,2827,negative,positive
"it's an interesting effort ( particularly for jfk conspiracy nuts ) , and barry's cold-fish act makes the experience worthwhile .",positive,2834,positive,negative
brings awareness to an issue often overlooked -- women's depression .,positive,2836,positive,positive
undoubtedly the scariest movie ever made about tattoos .,positive,2841,positive,positive
"if this movie leaves you cool , it also leaves you intriguingly contemplative .",positive,2846,positive,negative
"throughout , mr . audiard's direction is fluid and quick .",positive,2856,positive,negative
a dashing and absorbing outing with one of france's most inventive directors .,positive,2857,positive,positive
"it's a fine , old-fashioned-movie movie , which is to say it's unburdened by pretensions to great artistic significance .",positive,2858,positive,positive
nachtwey clears the cynicism right out of you . he makes you realize that deep inside righteousness can be found a tough beauty .,positive,2861,positive,positive
"will you go ape over this movie ? well , it probably won't have you swinging from the trees hooting it's praises , but it's definitely worth taking a look .",positive,2870,negative,negative
p . t . anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .,positive,2876,positive,positive
"schepisi , aided by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms . mirren , who did ) , has succeeded beyond all expectation .",positive,2883,positive,negative
"lejos del para�so es al mismo tiempo una fiesta para los ojos y o�dos y un movilizador cuadro de personajes enfrentados a sus propios deseos , miedos y prejuicios .",positive,2884,positive,positive
"witty and often surprising , a dark little morality tale disguised as a romantic comedy .",positive,2896,positive,positive
astonishing . . . [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment .,positive,2899,positive,positive
"the way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of gator-bashing are consistently delightful .",positive,2905,positive,positive
"the quiet american isn't a bad film , it's just one that could easily wait for your pay per view dollar .",positive,2911,negative,negative
"in its treatment of the dehumanizing and ego-destroying process of unemployment , time out offers an exploration that is more accurate than anything i have seen in an american film .",positive,2913,positive,positive
"a sensitive , cultivated treatment of greene's work as well as a remarkably faithful one .",positive,2916,positive,positive
"it's a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety .",positive,2918,positive,positive
trades run-of-the-mill revulsion for extreme unease .,positive,2927,negative,negative
"none of this is meaningful or memorable , but frosting isn't , either , and you wouldn't turn down a big bowl of that , would you ?",positive,2939,positive,positive
"may lack the pungent bite of its title , but it's an enjoyable trifle nonetheless .",positive,2942,negative,negative
it's a fun adventure movie for kids ( of all ages ) that like adventure .,positive,2955,positive,positive
"smart and fun , but far more witty than it is wise .",positive,2964,positive,positive
"walter hill's undisputed is like a 1940s warner bros . b picture , and i mean that as a compliment .",positive,2967,positive,positive
rubbo runs through a remarkable amount of material in the film's short 90 minutes .,positive,2978,negative,positive
"[russell] makes good b movies ( the mask , the blob ) , and the scorpion king more than ably meets those standards .",positive,2993,positive,negative
"the film has an infectious enthusiasm and we're touched by the film's conviction that all life centered on that place , that time and that sport .",positive,2996,positive,positive
"the camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",positive,2998,positive,positive
"demonstrates the unusual power of thoughtful , subjective filmmaking .",positive,3000,positive,positive
the success of undercover brother is found in its ability to spoof both black and white stereotypes equally .,positive,3002,negative,negative
cox creates a fluid and mesmerizing sequence of images to match the words of nijinsky's diaries .,positive,3004,positive,positive
"halloween : resurrection isn't exactly quality cinema , but it isn't nearly as terrible as it cold have been .",positive,3010,negative,negative
"the most wondrous love story in years , it is a great film .",positive,3013,positive,positive
"some movies suck you in despite their flaws , and heaven is one such beast .",positive,3014,positive,negative
my wife is an actress works as well as it does because [the leads] are such a companionable couple .,positive,3015,positive,positive
. . . a series of tales told with the intricate preciseness of the best short story writing .,positive,3020,positive,negative
"the picture runs a mere 84 minutes , but it's no glance . it's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing .",positive,3025,positive,positive
it asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up .,positive,3026,negative,negative
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",positive,3027,positive,positive
"i like this movie a lot . i like that smith , he's not making fun of these people , he's not laughing at them .",positive,3031,positive,positive
'what's the russian word for wow ! ? ',positive,3034,positive,negative
"murder by numbers' isn't a great movie , but it's a perfectly acceptable widget .",positive,3038,positive,negative
"what [denis] accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned .",positive,3040,positive,positive
"the rich performances by friel -- and especially williams , an american actress who becomes fully english -- round out the square edges .",positive,3043,positive,positive
mama africa pretty much delivers on that promise . it does give you a peek . the main problem being that it's only a peek .,positive,3050,positive,positive
roman polanski's autobiographical gesture at redemption is better than 'shindler's list' - it is more than merely a holocaust movie .,positive,3051,negative,negative
"this is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery .",positive,3058,positive,positive
"an uncomfortable experience , but one as brave and challenging as you could possibly expect these days from american cinema .",positive,3059,positive,positive
"hailed as a clever exercise in neo-hitchcockianism , this clever and very satisfying picture is more accurately chabrolian .",positive,3060,negative,negative
funny and also heartwarming without stooping to gooeyness .,positive,3061,positive,positive
"at the film's centre is a precisely layered performance by an actor in his mid-seventies , michel piccoli .",positive,3062,positive,positive
"with amazing finesse , the film shadows heidi's trip back to vietnam and the city where her mother , mai thi kim , still lives .",positive,3064,positive,positive
at once disarmingly straightforward and strikingly devious .,positive,3075,positive,positive
"if you like quirky , odd movies and/or the ironic , here's a fun one .",positive,3076,positive,positive
sensitive ensemble performances and good period reconstruction add up to a moving tragedy with some buoyant human moments .,positive,3077,positive,positive
the script by david koepp is perfectly serviceable and because he gives the story some soul . . . he elevates the experience to a more mythic level .,positive,3080,positive,positive
it's always fascinating to watch marker the essayist at work .,positive,3083,positive,positive
"its gentle , touching story creeps into your heart .",positive,3088,positive,positive
real women have curves doesn't offer any easy answers .,positive,3093,positive,positive
"one of the funniest motion pictures of the year , but . . . also one of the most curiously depressing .",positive,3095,negative,positive
maelstrom is a deliberately unsteady mixture of stylistic elements .,positive,3105,positive,positive
"the ingenious construction ( adapted by david hare from michael cunningham's novel ) constantly flows forwards and back , weaving themes among three strands which allow us to view events as if through a prism",positive,3108,positive,positive
"assured , glossy and shot through with brittle desperation .",positive,3109,negative,negative
"what 'dumb and dumber' would have been without the vulgarity and with an intelligent , life-affirming script .",positive,3117,negative,negative
". . . a vivid , thoughtful , unapologetically raw coming-of-age tale full of sex , drugs and rock 'n' roll .",positive,3118,positive,positive
"when the movie mixes the cornpone and the cosa nostra , it finds a nice rhythm .",positive,3121,positive,negative
terrific casting and solid execution give all three stories life .,positive,3123,positive,positive
"[ramsay] visually transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor .",positive,3126,positive,positive
10 minutes into the film you'll be white-knuckled and unable to look away .,positive,3131,negative,negative
"it's a beautiful film , full of elaborate and twisted characters - and it's also pretty funny .",positive,3132,positive,positive
the universal theme of becoming a better person through love has never been filmed more irresistibly than in 'baran . ',positive,3136,positive,positive
"the faithful will enjoy this sometimes wry adaptation of v . s . naipaul's novel , but newcomers may find themselves stifling a yawn or two during the first hour .",positive,3143,positive,positive
"a distinguished and thoughtful film , marked by acute writing and a host of splendid performances .",positive,3144,positive,positive
"because eight legged freaks is partly an homage to them , tarantula and other low- budget b-movie thrillers of the 1950s and '60s , the movie is a silly ( but not sophomoric ) romp through horror and hellish conditions .",positive,3151,negative,negative
puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman .,positive,3152,positive,positive
"though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years .",positive,3155,positive,positive
"in a summer of clones , harvard man is something rare and riveting : a wild ride that relies on more than special effects .",positive,3161,positive,positive
an overly melodramatic but somewhat insightful french coming-of-age film . . .,positive,3164,positive,positive
"despite its flaws , crazy as hell marks an encouraging new direction for la salle .",positive,3172,positive,negative
"if you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this oscar-nominated documentary takes you there .",positive,3174,positive,positive
foster breathes life into a roll that could have otherwise been bland and run of the mill .,positive,3182,negative,negative
"as improbable as this premise may seem , abbass's understated , shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life .",positive,3188,positive,negative
"an intelligent and deeply felt work about impossible , irrevocable choices and the price of making them .",positive,3192,positive,positive
the kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati .,positive,3204,negative,positive
"none of his actors stand out , but that's less of a problem here than it would be in another film : characterization matters less than atmosphere .",positive,3208,negative,negative
an estrogen opera so intensely feminine that it serves as the antidote ( and cannier doppelganger ) to diesel's xxx flex-a-thon .,positive,3221,positive,negative
the film is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work .,positive,3227,positive,positive
"it's all entertaining enough , but don't look for any hefty anti-establishment message in what is essentially a whip-crack of a buddy movie that ends with a whimper .",positive,3233,positive,negative
"despite its old-hat set-up and predictable plot , empire still has enough moments to keep it entertaining .",positive,3235,positive,positive
"a pleasing , often-funny comedy .",positive,3243,positive,negative
"the film is about the relationships rather than about the outcome . and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen .",positive,3253,positive,positive
one of those terrific documentaries that collect a bunch of people who are enthusiastic about something and then figures out how to make us share their enthusiasm .,positive,3254,positive,positive
garcia and the other actors help make the wobbly premise work .,positive,3258,positive,negative
"it's surprisingly decent , particularly for a tenth installment in a series .",positive,3259,negative,negative
"a fascinating , unnerving examination of the delusions of one unstable man .",positive,3260,positive,positive
it's no accident that the accidental spy is a solid action pic that returns the martial arts master to top form .,positive,3262,positive,positive
"makes the case for a strong education and good teachers being more valuable in the way they help increase an average student's self-esteem , and not strictly in the knowledge imparted .",positive,3266,positive,positive
steers refreshingly clear of the usual cliches .,positive,3267,positive,positive
". . . wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams .",positive,3272,positive,positive
"you may leave the theater with more questions than answers , but darned if your toes won't still be tapping .",positive,3278,positive,positive
it's the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer's most pleasurable movies .,positive,3284,positive,positive
"the filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",positive,3289,positive,positive
"rouge is less about a superficial midlife crisis than it is about the need to stay in touch with your own skin , at 18 or 80 .",positive,3296,positive,positive
"stuart's poor-me persona needs a whole bunch of snowball's cynicism to cut through the sugar coating . but once the falcon arrives in the skies above manhattan , the adventure is on red alert .",positive,3315,negative,negative
until its final minutes this is a perceptive study of two families in crisis -- and of two girls whose friendship is severely tested by bad luck and their own immaturity .,positive,3332,negative,positive
"filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world's democracie",positive,3334,positive,negative
craig bartlett and director tuck tucker should be commended for illustrating the merits of fighting hard for something that really matters .,positive,3337,negative,negative
"it's immensely ambitious , different than anything that's been done before and amazingly successful in terms of what it's trying to do .",positive,3342,positive,positive
""" mr . deeds "" is suitable summer entertainment that offers escapism without requiring a great deal of thought .",positive,3345,positive,positive
there's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance .,positive,3350,negative,positive
"beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",positive,3355,positive,positive
"for most of its footage , the new thriller proves that director m . night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo .",positive,3359,positive,negative
"it's jagger's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .",positive,3363,positive,positive
"the film doesn't sustain its initial promise with a jarring , new-agey tone creeping into the second half",positive,3368,negative,positive
"although some viewers will not be able to stomach so much tongue-in-cheek weirdness , those who do will have found a cult favorite to enjoy for a lifetime .",positive,3392,positive,positive
